Criterion,Range_A_l,Range_A_m,Range_A_u,Range_B_l,Range_B_m,Range_B_u,RefIdeal_C_l,RefIdeal_C_m,RefIdeal_C_u,RefIdeal_D_l,RefIdeal_D_m,RefIdeal_D_u
C1,2.4304,2.48,2.5296,3.9396,4.02,4.1004,3.43,3.5,3.57,3.9396,4.02,4.1004
C2,2.989,3.05,3.111,3.577,3.65,3.723,3.136,3.2,3.264,3.577,3.65,3.723
C3,11.4954,11.73,11.9646,12.6518,12.91,13.1682,11.76,12.0,12.24,12.6518,12.91,13.1682
C4,0.5233,0.534,0.5446,0.544,0.556,0.5671,0.5194,0.53,0.5406,0.539,0.55,0.561
C5,0.1274,0.13,0.1326,0.1862,0.19,0.1938,0.147,0.15,0.153,0.1764,0.18,0.1836
C6,1.0114,1.032,1.0527,1.0186,1.0394,1.0602,1.0074,1.028,1.0486,1.0133,1.034,1.0547
